YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,PDF
2015,Audi,A4 / S4,PDF,2015 Audi A4 / S4 — Owner's Manual,"You can also press the accelerator pedal down to increase your speed, e.g. if you want to pass someone. The speed you saved earlier will resume as soon as you let off of the accelerator pedal. If, however, you exceed your saved speed by 6 mph (10 km/h) for longer than 5 minutes, the cruise control will be turned off temporarily. The green symbol in the display turns white.

The saved speed remains the same. The speed you saved will be retained if the cruise control has been switched off temporarily. To resume the saved speed, let up on the brake or clutch pedal and pull the lever to position. Switching the ignition off erases the saved speed.

The automatic transmission is controlled electronically. The transmission upshifts or downshifts automatically depending on which drive program is selected. When a moderate driving style is used, the transmission selects the most economical driving mode. It will then change up early and delay the downshifts to give better fuel economy.

The transmission switches to a sporty mode after a kick-down or when the driver uses a sporty driving style characterized by quick accelerator pedal movements, heavy acceleration, frequent changes in speed and traveling at the maximum speed.",https://ownersmanuals2.com/d/71138
2014,Audi,A4 / S4,PDF,2014 Audi A4 / S4 — Owner's Manual,"If the engine should not start immediately, the starting process is automatically stopped after a short time. Repeat starting procedure. When starting the engine, major electrical loads are switched off temporarily. After a cold engine is started, there may be a brief period of increased noise because oil pressure must first build up in the hydraulic valve adjusters.

This is normal and not a cause for concern. Your vehicle is equipped with an electromechanical parking brake. The parking brake is designed to prevent the ve hicle from rolling unintentionally and replaces the handbrake. In addition to the normal functions of a traditional handbrake, the electromechanical parking brake provides various convenience and safety functions.

When stopping at a traffic signal or stopp ing in city traffic on vehicles with an automatic transmission, the parking brake can be applied. The vehicle does not have to be held with the footbrake. The parking brake eliminates the tendency to creep with a drive range engaged. As soon as you drive off, as usual, the parking brake is released automatically and the vehicle starts to move.",https://ownersmanuals2.com/d/71145
2013,Audi,A4 / S4,PDF,2013 Audi A4 / S4 — Owner's Manual,"Engine and automatic transmission. Depending on the mode, the engine and the automatic transmission respond quicker or in a more balanced manner to an accelerator pedal movements. In the sporty-dynamic mode, the automatic transmission shifts at higher RPMs. The steering adapts in terms of steering effort and steering ratios.

Indirect steering that moves easily, like the steering in comfort mode, is best suited to long drives on a highway. In contrast, dynamic mode provides sporty, direct steering. The follow ing applies to vehicles with dynamic steering*: the steering ratio changes based on vehicle speed in order to maintain optimum steering effort for the driver at all times. This sets the steering to be less sensitive at higher speeds in order to provide improved vehicle control.

At reduced speeds, however, steering is more direct in order to keep the steering effort as minimal as possible when the driver is maneuvering the vehicle. At low and average speeds, dynamic steering additionally provides more responsive steering performance. The adaptive dampers* use sensors to record information regarding steering movements, braking and acceleration operations by the driver, road surface, driving speed, and load. This makes it possible to adapt damping to the driving situation virtually in real time.

Drive select also makes it possible to satisfy the desire for sporty suspension (Dynamic) and comfortable suspension (Comfort) without giving up balanced tuning (Auto).",https://ownersmanuals2.com/d/71142
2012,Audi,A4 / S4,PDF,2012 Audi A4 / S4 — Owner's Manual,"The low beams only illuminate with the ignition turned on. With the side marker lights or headlights switch ed on, the symbol next to the light switch illuminates. AUTO - Automatic headlight control. With the switch in the AUTO position, the low beams are switched on automatically depending on the ambient light, for example in a tunnel, at dusk and when it is raining or snowing.

When the low beams are switched on, the: symbol comes on. The low beams remain switched on regardless of the ambient light when you turn on the fog lights. When you turn off the ignition, the low beams are automatically switched off. On vehicles with a rain sensor the headlights switch on automatically after a few windshield wiper passes.

However, the instrument lighting will not be switched on. With automatic headlight control, you also have the high-beam function available. However, if you have not switched high beams back to low beams while driving with automatic headlight control, only the low beams come on the next time you turn on automatic headlight control. In order to return to high beams again, you first have to pull the high beam lever back to the normal position and then push the lever forward.",https://ownersmanuals2.com/d/71148
2011,Audi,A4 / S4,PDF,2011 Audi A4 / S4 — Owner's Manual,"Side assist compares the distance and difference in speed of detected vehicles with the speed of your vehicle. Whenever the difference in speed and distance is registered as notable if you were to change lanes, a signal light appears on the respective mirror. The signal can light up if you are passed by a vehicle or if you are passing another vehicle. If you pass another vehicle slowly (difference in speed less than 9 mph or 15 km/h), the signal light will come on as soon as the other vehicle is in your blind spot and is detected by side assist.

When the difference in speed is greater, the signal light will not come on. As long as you have not activated the turn signal, side assist informs you of detected vehicles that are registered as being in a notable location if you were to change lanes. Whenever the detected vehicle's difference in speed and distance is registered by side assist as notable, the signal light on the respective mirror produces muted illumination. The brightness of the informational stage signal is designed not to be as intense so that it does not interfere with your view of the road when you are driving and have no intention of changing lanes.

When you look in the outside mirror, you can clearly see the informational stage signal. When you activate the turn signal, and side assist has detected a vehicle in a notable location on that particular side, the signal light on this side mirror flashes brightly. The repeated brief and bright flashing of the alert stage signal reminds you to carefully check traffic to the rear in the outside mirror and over your shoulder, so that you can safely complete the lane change in ""Safety tips "" on page 144.",https://ownersmanuals2.com/d/71880
2010,Audi,A4 / S4,PDF,2010 Audi A4 / S4 — Owner's Manual,"With this setting, you attain maximum comfort in the least amount of time. Change this setting, as desired, to meet your personal needs. The climate controls are a combination of heating, ventilation and cooling systems, which automatically reduce humidity and cool the air inside your vehicle. The climate control automatically maintains a temperature once it has been set.

The temperature of the air from the vents, fan speed (air volume) and air distribution are also automatically adjusted. The system also takes into account strong sunshine so that manual adjustment is not necessary. So in almost all cases, automatic mode offers the best conditions for the comfort of the occupants at all times of the year. Please note the following: Turn on the air conditioner to reduce humidity in the vehicle.

This also prevents the windows from fogging up. When the outside temperature is high and the air is very humid, condensation from the evaporator may drip under the vehicle. This is normal and does not indicate a leak. If the outside temperature is low, the fan normally only switches to a higher speed once the engine coolant has warmed up sufficiently.

The air conditioner temporarily switches off when you drive off from a standstill using full throttle to save engine power. The compressor also switches off if the coolant temperature is too high so that the engine can be adequately cooled under extreme loads. The dust and pollen filter (a combined particle filter and activated charcoal filter) reduces or prevents outside an air pollution (dust, or pollen) from entering the vehicle. The dust and pollen filter must be changed at the intervals specified in your Maintenance booklet so that the air conditioner can properly work.",https://ownersmanuals2.com/d/65169
2008,Audi,A4 / S4,PDF,2008 Audi A4 / S4 — Owner's Manual,"braking guard is active at speeds above approximately 30 km/h and operates within the system limitations ⇒ page 140 even when the adaptive cruise control is deactivated. The radar sensor is fitted at the front of the vehicle ⇒ page 130, fig. 137. The system requires reflecting surfaces in order to be able to measure the distance. If the ACC is unable to measure the distance it will not respond.

Once the system has measured the distance, it can assess a dangerous situation where a vehicle in front brakes suddenly or you are driving fast and approach a vehicle traveling at a much slower speed. The system warns you as soon as it anticipates that a potential collision with the vehicle in front can only be avoided by hard braking or by taking evasive action. The system has a preset response time so that it can warn you in time. In certain situations, the system response time will be reduced dynamically, e.g. when you are accelerating onto a motorway.

Braking, lateral acceleration, and steering angle are other factors which can shorten the system response time. The warning will be deactivated if you press the accelerator pedal right down in order to overtake.",https://ownersmanuals2.com/d/65260
2008,Audi,A4 Avant,PDF,2008 Audi A4 Avant — Owner's Manual,"The Malfunction Indicator Lamp (MIU in the instrument cluster is part of the On-Board Diagnostic (OBD II) system. The warning/indicator light illuminates when the ignition is switched on and goes out after the engine starts and the idle has stabilized. This indicates that the MIL is working properly. If the light does not go out after the engine is started, or illuminates while you are driving, a malfunction may exist in the engine system.

If the light starts flashing, the catalytic converter could be damaged. Continue driving with reduced power (avoiding sustained high speeds and/or rapid accelerations) and have the condition corrected. If the light illuminates, the electronic speed limiter may also be malfunctioning. On-Board Diagnostics monitors the components of your emission control system.

Each controlled component in your engine system has been assigned a code. In case of a malfunction, the component will be identified and the fault stored as a code in the control module memory. The MIL lamp may also illuminate if there is a leak in the onboard fuel vapor recovery system. If the light illuminates after a refueling, pull off the road and stop the vehicle, then check that the fuel filler cap is properly closed (page 269).

In order to make an accurate diagnosis, the stored data can only be displayed using special diagnos tic equipment (generic scan tool for OBD).",https://ownersmanuals2.com/d/71886
2009,Audi,A4 Cabriolet / S4 Cabriolet,PDF,2009 Audi A4 Cabriolet / S4 Cabriolet — Owner's Manual,"The cruise control system allows you to maintain a constant speed. The cruise control system allows you to maintain a constant driving speed when driving faster than 18 mph (30 km/h) - to the extent this is possible with the given engine power and braking characteristics. This allows you to take your foot off the ""gas"" and rest it, especially on long trips. The indicator light (U.S. models: CRUISE) in the instrument cluster illuminates when the system is on.

Changing a stored speed. You can also increase the vehicle speed by depressing the accelerator pedal. The vehicle speed will increase as long as you keep the accelerator pedal depressed. When you let up on the accelerator pedal, the vehicle speed will automatically return the to previously stored vehicle speed in the cruise control.

If the actual vehicle speed exceeds the stored vehicle speed in the cruise control for longer than five minutes and by more than 6 mph (10 km/h), the cruise control will automatically erase the stored vehicle speed and you will have to reset the cruise control again.",https://ownersmanuals2.com/d/71890
2013,Audi,A4 Sedan / S4 Sedan,PDF,2013 Audi A4 Sedan / S4 Sedan — Owner's Manual,,https://ownersmanuals2.com/d/71179
2020,Audi,A5,PDF,2020 Audi A5 — Owner's Manual,,https://ownersmanuals2.com/d/77804
2019,Audi,A5,PDF,2019 Audi A5 — Owner's Manual,"Active lane assist (lane departure warning) detects lane marker lines within the limits of the system using a camera in the windshield. If you are approaching a detected lane marker line and it appears likely that you will leave the lane, the system will warn you with corrective steering. You can override this steering at any time. If you pass over a line, the steering wheel will vibrate lightly.

In order for this warning vibration to occur, it must first be switched on in the Infotainment system. Active lane assist is ready for operation when the lane marker line is detected on at least one side of the vehicle. The system is designed for driving on express ways and highways and therefore only activates at speeds above approximately 40 mph (65 km/h).",https://ownersmanuals2.com/d/73455
2017,Audi,A5 Cabriolet / S5 Cabriolet,PDF,2017 Audi A5 Cabriolet / S5 Cabriolet — Owner's Manual,"Electromechanical parking brake. Your vehicle is equipped with an electromechanical parking brake. The parking brake is designed to prevent the vehicle from rolling unintentionally and replaces the handbrake. In addition to the normal functions of a traditional handbrake, the electromechanical parking brake provides various convenience and safety functions.

When starting from rest: The integral starting assist helps you when driving by automatically releasing the parking brake (page 77). When starting on inclines, the starting assist prevents the vehicle from unintentionally rolling back. The braking force of the parking brake is not released until sufficient driving force has been built up at the wheels. An emergency bra ke ensures th at the vehicle can be slowed down even if t he normal brakes fail.

Starting and automatically releasing the parking brake. When you start to drive as usual, the parking brake is automatically released and your vehicle begins to move. When stopping at a traffic signal or stopping in city traffic on vehicles with an automatic transmission, the parking brake can be applied. The vehicle does not have to be held with the footbrake.

The parking brake eliminates the tendency to creep with a drive range engaged. As soon as you drive off as usual, the parking brake is released automatically and the vehicle starts to move.",https://ownersmanuals2.com/d/72229
2015,Audi,A5 Cabriolet / S5 Cabriolet,PDF,2015 Audi A5 Cabriolet / S5 Cabriolet — Owner's Manual,"Power easy entry function: The easy entry function makes it easier for the rear passengers to enter and leave the vehicle. When the front seats are moved forward, their original position is stored. When it is moved back, the seat automatically stops in this position. To move the seat even further back, you have to release the switch and reactivate it.

Applies to vehicles with adjustable head restraints: The head restraints from the front seats, depending on the seat height that has been set, are automatically retracted when the seatbacks a refolded down. They return to their original position again when the seatbacks for the front seats are raised. The memory function allows you to quickly and easily store and recall personal seating profiles for the driver. The memory function is operated through the master key and the memory buttons in the driver's door.

The driver's seating profile is stored and assigned to the master key each time the vehicle is locked. When you open the door, the seat profile is automatically recalled. If two people use one vehicle, it is recommended that each person always uses ""their own"" master key. Up to 2 seat profiles can be stored in the memory buttons in the driver's door.

Once they are stored, these seat profiles can be selected at any time. In addition to the driver's seat settings, you can also store and access the exterior mirror adjustment settings using the remote control key or memory button.",https://ownersmanuals2.com/d/71928
2014,Audi,A5 Cabriolet / S5 Cabriolet,PDF,2014 Audi A5 Cabriolet / S5 Cabriolet — Owner's Manual,"Park assist. The delay in deactivating the camera provides an uninterrupted view behind the vehicle especially when maneuvering in tight parking spaces and prevents the picture from turning off every time you shift out of reverse. If the warning message appears in the display but not the rear view camera picture, read and confirm the warning message. The acoustic distance signal is always active.

If you press a function button on the MMI control console, the rear view camera picture disappears. The rearview camera picture reappears the next time you park. Further information on the warning message and the MMI control console can be found in the MMI instruction booklet. Parking next to obstacles.

When there is an obstacle (such as a wall) next to the parking spot, choose a spot with more space on the sides. Position the long side of the blue area so that there is sufficient space from the curb. The area must not be on the curb. You will also need to start turning the steering wheel much earlier.

There should be a sufficient amount of space between the curb and the blue curve, and the blue curve.",https://ownersmanuals2.com/d/71231
2013,Audi,A5 Cabriolet / S5 Cabriolet,PDF,2013 Audi A5 Cabriolet / S5 Cabriolet — Owner's Manual,,https://ownersmanuals2.com/d/71926
